creation_month,issuer,has_owner_change,has_desk_transfer,reopened,n,median_duration_capped_hours
2024-01,CLIENT,0,0,0,63273,1.2950000055134296
2024-01,CLIENT,0,0,1,62,45.944861110299826
2024-01,CLIENT,0,1,0,97,191.7158333323896
2024-01,CLIENT,1,0,0,17751,31.62111111357808
2024-01,CLIENT,1,0,1,9,1294.1030555516481
2024-01,CLIENT,1,1,0,47,689.7708333358169
2024-01,INTERNAL,0,0,0,47882,0.4261111132800579
2024-01,INTERNAL,0,0,1,30,84.48111111111939
2024-01,INTERNAL,0,1,0,40,159.7504166699946
2024-01,INTERNAL,1,0,0,13897,23.884444434195757
2024-01,INTERNAL,1,0,1,11,200.6847222223878
2024-01,INTERNAL,1,1,0,40,1861.3883333355188
2024-01,THIRD_PARTY,0,0,0,5444,3.2365277744829655
2024-01,THIRD_PARTY,0,0,1,10,213.40097222663462
2024-01,THIRD_PARTY,0,1,0,1,1678.9472222216427
2024-01,THIRD_PARTY,1,0,0,3377,116.63805555179715
2024-01,THIRD_PARTY,1,0,1,6,1000.5424999985844
2024-01,THIRD_PARTY,1,1,0,16,2361.37555555813
2024-02,CLIENT,0,0,0,61264,1.3002777770161629
2024-02,CLIENT,0,0,1,61,63.11222222819924
2024-02,CLIENT,0,1,0,88,190.4059722237289
2024-02,CLIENT,1,0,0,17020,27.309305554255843
2024-02,CLIENT,1,0,1,14,780.7047222275287
2024-02,CLIENT,1,1,0,54,679.0765277780592
2024-02,INTERNAL,0,0,0,44139,0.4441666603088379
2024-02,INTERNAL,0,0,1,30,41.20736110769212
2024-02,INTERNAL,0,1,0,53,231.72472221404314
2024-02,INTERNAL,1,0,0,13553,18.016111113131046
2024-02,INTERNAL,1,0,1,14,492.40069443918765
2024-02,INTERNAL,1,1,0,16,564.62277777493
2024-02,THIRD_PARTY,0,0,0,5112,3.191666666418314
2024-02,THIRD_PARTY,0,0,1,11,30.079722225666046
2024-02,THIRD_PARTY,0,1,0,5,96.01750000566244
2024-02,THIRD_PARTY,1,0,0,3326,77.06263888813555
2024-02,THIRD_PARTY,1,0,1,8,1231.9752777758986
2024-02,THIRD_PARTY,1,1,0,4,2399.4674999993294
2024-03,CLIENT,0,0,0,63080,1.253333330154419
2024-03,CLIENT,0,0,1,65,69.57555556297302
2024-03,CLIENT,0,1,0,87,147.72361110895872
2024-03,CLIENT,1,0,0,19548,26.918194441124797
2024-03,CLIENT,1,0,1,11,354.2772222273052
2024-03,CLIENT,1,1,0,67,668.5147222168744
2024-03,INTERNAL,0,0,0,45714,0.45736111141741276
